Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Birds,Chrome 116.0.0.0,,,2023-08-28 11:18:29,2023-08-28 11:19:45,1m - 16.430s,PASSED
,,,,,,,
Test Cases/SignIn/Verify_Birds,Chrome 116.0.0.0,,,2023-08-28 11:18:30,2023-08-28 11:19:45,1m - 15.932s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 11:18:30,2023-08-28 11:18:35,4.323s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 11:18:35,2023-08-28 11:18:35,0.771s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Enter the Store""))",Chrome 116.0.0.0,,,2023-08-28 11:18:35,2023-08-28 11:18:37,1.295s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign In""))",Chrome 116.0.0.0,,,2023-08-28 11:18:37,2023-08-28 11:18:38,0.816s,PASSED
"setText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_username""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 11:18:38,2023-08-28 11:19:42,1m - 4.122s,PASSED
"setEncryptedText(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_password""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 11:19:42,2023-08-28 11:19:42,0.717s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/input_Need a user name and password_signon""))",Chrome 116.0.0.0,,,2023-08-28 11:19:42,2023-08-28 11:19:43,0.885s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/img""), 0)",Chrome 116.0.0.0,,,2023-08-28 11:19:43,2023-08-28 11:19:44,0.445s,PASSED
"click(findTestObject(""Object Repository/SignIn_Page/Page_JPetStore Demo/a_Sign Out""))",Chrome 116.0.0.0,,,2023-08-28 11:19:44,2023-08-28 11:19:45,1.034s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 11:19:45,2023-08-28 11:19:45,0.771s,PASSED
