Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Explore_Fish,Chrome 116.0.0.0,,,2023-08-28 12:31:30,2023-08-28 12:32:44,1m - 13.890s,PASSED
,,,,,,,
Test Cases/ExplorePage/Explore_Fish,Chrome 116.0.0.0,,,2023-08-28 12:31:31,2023-08-28 12:32:44,1m - 13.411s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:31:31,2023-08-28 12:31:34,2.646s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:31:34,2023-08-28 12:31:34,0.737s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Enter the Store (2)""))",Chrome 116.0.0.0,,,2023-08-28 12:31:34,2023-08-28 12:31:36,1.226s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign In (2)""))",Chrome 116.0.0.0,,,2023-08-28 12:31:36,2023-08-28 12:31:36,0.729s,PASSED
"setText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_username (2)""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 12:31:36,2023-08-28 12:32:40,1m - 3.717s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_password (2)""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 12:32:40,2023-08-28 12:32:41,0.485s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_signon (2)""))",Chrome 116.0.0.0,,,2023-08-28 12:32:41,2023-08-28 12:32:41,0.762s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/img (2)""))",Chrome 116.0.0.0,,,2023-08-28 12:32:41,2023-08-28 12:32:42,0.756s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/th_Product ID (2)""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:32:42,2023-08-28 12:32:43,0.470s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign Out (2)""))",Chrome 116.0.0.0,,,2023-08-28 12:32:43,2023-08-28 12:32:43,0.729s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:32:43,2023-08-28 12:32:44,0.705s,PASSED
