Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Explore_Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:33:03,2023-08-28 12:34:17,1m - 13.792s,PASSED
,,,,,,,
Test Cases/ExplorePage/Explore_Reptiles,Chrome 116.0.0.0,,,2023-08-28 12:33:03,2023-08-28 12:34:17,1m - 13.403s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 12:33:04,2023-08-28 12:33:07,2.691s,PASSED
"navigateToUrl(""https://petstore.octoperf.com/"")",Chrome 116.0.0.0,,,2023-08-28 12:33:07,2023-08-28 12:33:07,0.720s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Enter the Store (3)""))",Chrome 116.0.0.0,,,2023-08-28 12:33:07,2023-08-28 12:33:08,1.246s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign In (3)""))",Chrome 116.0.0.0,,,2023-08-28 12:33:08,2023-08-28 12:33:09,0.662s,PASSED
"setText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_username (3)""), ""suhas3"")",Chrome 116.0.0.0,,,2023-08-28 12:33:09,2023-08-28 12:34:13,1m - 3.875s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_password (3)""), ""qg5PJjO9hfg="")",Chrome 116.0.0.0,,,2023-08-28 12:34:13,2023-08-28 12:34:13,0.475s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/input_Need a user name and password_signon (3)""))",Chrome 116.0.0.0,,,2023-08-28 12:34:13,2023-08-28 12:34:14,0.703s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/img (3)""))",Chrome 116.0.0.0,,,2023-08-28 12:34:14,2023-08-28 12:34:15,0.679s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/th_Product ID (3)""), 0)",Chrome 116.0.0.0,,,2023-08-28 12:34:15,2023-08-28 12:34:15,0.361s,PASSED
"click(findTestObject(""Object Repository/Exp/Page_JPetStore Demo/a_Sign Out (3)""))",Chrome 116.0.0.0,,,2023-08-28 12:34:15,2023-08-28 12:34:16,0.768s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-08-28 12:34:16,2023-08-28 12:34:17,0.704s,PASSED
